violation,skillid,skill name,github developer,store developer,github description,store description
,B086R1W2CX,F1 Forecast,repos/JordanPerkins/F1-Forecast/alexa-skill,Jordan Perkins,"F1 forecast is an assistant for Formula One fans with a difference.Like all F1 skills, it can keep you up to date with the latest drivers and constructors standings, tell you what happened in the last race and make sure you don't miss an upcoming race by informing on the season calendar.In addition to this however, through the use of Machine Learning on historical data from the beginning of the Formula One world championship, the skill can make predictions about the results of the next qualifying and race sessions!The capabilities of the skill are as follows:- Predict winner, position for a specific driver, or a full result for the next race and qualifying sessions.- List the full season calendar, provide the date of a specific race or the upcoming race.- Provide the current drivers and constructors championship leader, the position of a specific driver or team, or the full standings.- Provide the winner or polesitter from the last race, the position of a specific driver, or the full set of results.","F1 forecast is an assistant for Formula One fans with a difference.Like all F1 skills, it can keep you up to date with the latest drivers and constructors standings, tell you what happened in the last race and make sure you don't miss an upcoming race by informing on the season calendar.In addition to this however, through the use of Machine Learning on historical data from the beginning of the Formula One world championship, the skill can make predictions about the results of the next qualifying and race sessions!The capabilities of the skill are as follows:- Predict winner, position for a specific driver, or a full result for the next race and qualifying sessions.- List the full season calendar, provide the date of a specific race or the upcoming race.- Provide the current drivers and constructors championship leader, the position of a specific driver or team, or the full standings.- Provide the winner or polesitter from the last race, the position of a specific driver, or the full set of results."
,B076VRMNM5,Kurt Vonnegut Quotes,repos/karakarakaraff/alexa-skills/kurt-vonnegut-quotes,Kara Flaherty,"Kurt Vonnegut Quotes brings all of your favorite thoughts, musings, and excerpts from the famous author to your fingertips. Fart around, learn something, and maybe laugh a little as you gain insight from the mind who wrote such classics as ""Slaughter-House Five"" and ""Cat's Cradle"" in addition to numerous essays, short stories, plays, and more. It's a dose of dark humor mixed with philosophy and a bit of absurdity — it's everything and nothing, with a twist.","Kurt Vonnegut Quotes brings all of your favorite thoughts, musings, and excerpts from the famous author to your fingertips. Fart around, learn something, and maybe laugh a little as you gain insight from the mind who wrote such classics as ""Slaughter-House Five"" and ""Cat's Cradle"" in addition to numerous essays, short stories, plays, and more. It's a dose of dark humor mixed with philosophy and a bit of absurdity — it's everything and nothing, with a twist."
,B08WCBRHYC,My Dishwasher,repos/kirapeters/dishwasher-alexa-skill,Kira Works,"Sometimes you can't remember wether the dishes in the dishwasher are dirty or not. Tell Alexa, and she will remember for you!Open up the skill with ""open my dishwasher"" to tell Alexa whether or not your dishes are dirty. Open it up a second time to know whether or not your dishes are dirty.You can tell Alexa the state of your dishes anytime by saying ""Alexa, tell my dishwasher my dishes are clean.""Ask Alexa whether your dishes are clean by saying ""Ask my dishwasher if my dishes are clean"".","Sometimes you can't remember wether the dishes in the dishwasher are dirty or not. Tell Alexa, and she will remember for you!Open up the skill with ""open my dishwasher"" to tell Alexa whether or not your dishes are dirty. Open it up a second time to know whether or not your dishes are dirty.You can tell Alexa the state of your dishes anytime by saying ""Alexa, tell my dishwasher my dishes are clean."""
,B07RP62B8G,Tasty Beverage,repos/kyle-wrenn/tasty-bev-alexa,Kyle Wrenn,Get information about Tasty Beverage like new arrivals and what's on draft.,Get information about Tasty Beverage like new arrivals and what's on draft.You can specify which location you want information for and we'll store your preference for future reference.
,B08WX5YLMP,number trivia,repos/longhike/number-trivia-alexa-skill,longhike,you can ask Alexa for number trivia or trivia about a specific number,you can ask Alexa for number trivia or trivia about a specific number
health lack a disclaimer,B01DKH76EC,ALOP Pilates Class,repos/luciana/amazon-echo-skill-a-lot-of-pilates/ALOPPilatesClass,A Lot Of Pilates,"Take Pilates classes with Alexa. All you need to get started is a Pilates mat and about 10-20 minutes of your time. You don't need any equipment for these classes. The classes are primarily based on the classical Pilates mat sequences. Alexa knows a variety of Pilates sequences, so it won’t get boring. Say ‘Alexa, start pilates class’, and let Alexa guide you through an enjoyable Pilates experience. To learn more about Pilates exercises and take a variety of Pilates classes, visit ALotOfPilates.com","Take Pilates classes with Alexa. All you need to get started is a Pilates mat and about 10-20 minutes of your time. You don't need any equipment for these classes. The classes are primarily based on the classical Pilates mat sequences. Alexa knows a variety of Pilates sequences, so it won’t get boring. Say ‘Alexa, start pilates class’, and let Alexa guide you through an enjoyable Pilates experience. To learn more about Pilates exercises and take a variety of Pilates classes, visit ALotOfPilates.com"
,B08BPDK6PQ,Aurora Waste Collection Schedule,repos/makandre/AuroraWasteCollectionSchedule,Andrew Mak,"An Alexa skill to tell you whether it is garbage pickup week for waste collection in Aurora, Ontario, Canada.","An Alexa skill to tell you whether it is garbage pickup week for waste collection in Aurora, Ontario, Canada."
,B08BJW95TY,Richmond Hill Waste Collection Schedule,repos/makandre/RichmondHillWasteCollectionSchedule,Andrew Mak,"An Alexa skill to tell you whether it is currently a blue week or a yellow week for waste collection in Richmond Hill, Ontario, Canada.","An Alexa skill to tell you whether it is currently a blue week or a yellow week for waste collection in Richmond Hill, Ontario, Canada."
,B08B5VHGM2,Vaughan Waste Collection Schedule,repos/makandre/VaughanWasteCollectionSchedule,Andrew Mak,"An Alexa skill to tell you whether it is currently a blue week or a yellow week for waste collection in Vaughan, Ontario, Canada.","An Alexa skill to tell you whether it is currently a blue week or a yellow week for waste collection in Vaughan, Ontario, Canada."
,B09T6XJ3NT,Essence Helper,repos/Markkop/essence-helper-alexa-skill,Marcelo Kopmann,Find out what equipment perks do and discover the location of cooking ingredients with this skill.,Find out what equipment perks do and discover the location of cooking ingredients with this skill.
,B083F9PRJ7,California Hydrogen Fuel Availability,repos/mechawrench/hydrogen-fuel-availability-alexa-skill,Mechawrench,Simply ask Alexa "check hydrogen fuel" and supply your station name with the next prompts to retrieve available H70 and H35 fuel status and quantities available.  California only at this time.,Simply ask Alexa "check hydrogen fuel" and supply your station name with the next prompts to retrieve available H70 and H35 fuel status and quantities available.  California only at this time.
,B01IDM6QFY,Hamurabi's Kingdom,repos/mediarain/hamurabi,Rain Labs,"Hamurabi is one of the first games made for terminal computers. In Hamurabi you manage a kingdom. Each year you must carefully balance how many bushels you'll use to feed your workers, and how much you'll plant for the next year. With famine years, plagues, and rats, it'll be a challenge to prevent revolts and prepare for the next year.","Hamurabi is one of the first games made for terminal computers. In Hamurabi you manage a kingdom. Each year you must carefully balance how many bushels you'll use to feed your workers, and how much you'll plant for the next year. With famine years, plagues, and rats, it'll be a challenge to prevent revolts and prepare for the next year."
,B07H35MFN9,Megafood's Wellness Assistant,repos/MegaFoodBlue/avocado-alexa,MegaFood,"MegaFood was founded with one goal — to improve people’s lives by delivering the most authentic nourishment possible. Our mission has always been to produce superior whole food supplements for those who care about their health and well-being.* MegaFood's Wellness assistant is not a substitute for the advice of a medical professional, if you are ill or need medical advice, please talk to your doctor.","MegaFood was founded with one goal — to improve people’s lives by delivering the most authentic nourishment possible. Our mission has always been to produce superior whole food supplements for those who care about their health and well-being.* MegaFood's Wellness assistant is not a substitute for the advice of a medical professional, if you are ill or need medical advice, please talk to your doctor."
,B07JHW3NHJ,Marco Island City Guide,repos/MJR113/ask-city-guide-marco-island-default,MJR113,"Ask an expert for a recommendation on what to do in Marco Island, Florida. You can even ask for tips within a specific distance.","Ask an expert for a recommendation on what to do in Marco Island, Florida. You can even ask for tips within a specific distance."
,B07JH88HL3,High Low Game,repos/MJR113/ask-highlow-game-default,MJR113,Guess a number and Alexa will tell you if you need to guess higher or lower. She will also tell you how many times you have played.,Guess a number and Alexa will tell you if you need to guess higher or lower. She will also tell you how many times you have played.
,B07K1NBJLJ,Wheel of Lunch,repos/MJR113/ask-wheel-of-lunch-skill,MJR113,Wheel of Lunch provides dining recommendations for when you're too hungry to think.,Wheel of Lunch provides dining recommendations for when you're too hungry to think.
,B07PY84GB5,Real Quotes from The Office,repos/mwilde345/SoundsOfTheOffice,Matthew Wilde,"Alexa's voice is boring! Hear the funniest quotes from the voices of the actual actors in the hit show, the Office.Dwight, Jim, Michael, Creed, and the whole gang get together in this hilarious Alexa skill to remind you why Dunder Mifflin is the best place to be.This skill comes with at least 30 free quotes to hear and tons more bonus quotes. Get ready for lots of new features coming out, like ""Vote a Quote"" and ""Guess the Character"".What are you waiting for!? Give this skill a try.","Alexa's voice is boring! Hear the funniest quotes from the voices of the actual actors in the hit show, the Office.Dwight, Jim, Michael, Creed, and the whole gang get together in this hilarious Alexa skill to remind you why Dunder Mifflin is the best place to be.This skill comes with at least 30 free quotes to hear and tons more bonus quotes. Get ready for lots of new features coming out, like ""Vote a Quote"" and ""Guess the Character"".What are you waiting for!? Give this skill a try."
,B078SD9RWL,Space quiz,repos/novoda/spikes/AlexaSpaceQuiz,Novoda Ltd.,"Test your knowledge about Space with this fun quiz!You will receive several questions about astronomy, space exploration and our Solar System. Answer with the number of the right answer and try to get as many right answers as possible.","Test your knowledge about Space with this fun quiz!You will receive several questions about astronomy, space exploration and our Solar System. Answer with the number of the right answer and try to get as many right answers as possible."
,B07HQRMS1B,Avada Kedavra,repos/omenocal/avada-kedavra-voice-app,Menocal Apps,"There was a flash of blinding green light and a rushing sound, as though a vast, invisible something was soaring through the air — instantaneously the spider rolled over onto its back, unmarked, but unmistakably dead.The Killing Curse (Avada Kedavra) is a tool of the Dark Arts and one of the three Unforgivable Curses. It is one of the most powerful and sinister spells known to wizardkind.I can't teach you this spell, but I can show you several funny spells just with our imaginary magic wand. Give it a try and have fun with hundreds of different sounds from animals, cartoons, magic, horror, impact, nature and many more.You can say for example:""Alexa, Avada Kedavra""""Alexa, start Avada Kedavra""""Alexa, begin Avada Kedavra""""Alexa, torture Voldemort with Avada Kedavra""""Alexa, torture Bellatrix Lestrange using Avada Kedavra""Hope you have fun with this skill, if you have any suggestions to improve it, don't be shy and drop me an email to octaviomenocal92@gmail.com. Will be happy to add any ideas you have in mind!","There was a flash of blinding green light and a rushing sound, as though a vast, invisible something was soaring through the air — instantaneously the spider rolled over onto its back, unmarked, but unmistakably dead.The Killing Curse (Avada Kedavra) is a tool of the Dark Arts and one of the three Unforgivable Curses. It is one of the most powerful and sinister spells known to wizardkind.I can't teach you this spell, but I can show you several funny spells just with our imaginary magic wand. Give it a try and have fun with hundreds of different sounds from animals, cartoons, magic, horror, impact, nature and many more.You can say for example:""Alexa, Avada Kedavra""""Alexa, start Avada Kedavra""""Alexa, begin Avada Kedavra""""Alexa, torture Voldemort with Avada Kedavra""""Alexa, torture Bellatrix Lestrange using Avada Kedavra""Hope you have fun with this skill, if you have any suggestions to improve it, don't be shy and drop me an email to octaviomenocal92@gmail.com. Will be happy to add any ideas you have in mind!"
,B07N87JWKP,Creepy Doll Music & Background,repos/omenocal/creepy-doll-voice-app,Menocal Apps,"Do you think Alexa enjoys creepy music? Well, yes she does. Specially music inspired in creepy dolls. You can ask her to play creepy and horror melodies, and she will find the best creepy melodies to play for an hour. If you have a screen device like Echo Show and Echo Spot you can see creepy doll images throughout all the time the melody lasts.You can say things like:Alexa, start creepy doll.Alexa, ask creepy doll for a creepy background.Alexa, tell creepy doll to frighten me.IMPORTANT: due to the video duration (1 hour), Echo Show and Echo Spot devices last some seconds to load the video. If it's the first time you open the skill you'll experience a 5-7 seconds delay. Next times, it lasts 3-4 seconds to load, depending on your internet connection.Credits to the video and music goes to Derek & Brandon Fiechter. Visit their YouToube Channel for more excellent content: https://www.youtube.com/watch?v=9SlEXqWtDVk.If you have any questions or suggestions for more skills, just leave an email at octaviomenocal92@gmail.com.Thanks and enjoy!","Do you think Alexa enjoys creepy music? Well, yes she does. Specially music inspired in creepy dolls. You can ask her to play creepy and horror melodies, and she will find the best creepy melodies to play for an hour. If you have a screen device like Echo Show and Echo Spot you can see creepy doll images throughout all the time the melody lasts.You can say things like:Alexa, start creepy doll.Alexa, ask creepy doll for a creepy background.Alexa, tell creepy doll to frighten me.IMPORTANT: due to the video duration (1 hour), Echo Show and Echo Spot devices last some seconds to load the video. If it's the first time you open the skill you'll experience a 5-7 seconds delay. Next times, it lasts 3-4 seconds to load, depending on your internet connection.Credits to the video and music goes to Derek & Brandon Fiechter. Visit their YouToube Channel for more excellent content: https://www.youtube.com/watch?v=9SlEXqWtDVk.If you have any questions or suggestions for more skills, just leave an email at octaviomenocal92@gmail.com.Thanks and enjoy!"
,B07NRWZ745,Forest Fantasy Music & Background,repos/omenocal/fantasy-music-voice-app,Menocal Apps,"Do you think Alexa enjoys fantasy music? Well, yes she does. Specially music inspired in forest fantasies. You can ask her to play fantasy melodies, and she will find the best forest fantasy melodies to play for an hour. If you have a screen device like Echo Show and Echo Spot you can see forest fantasy images throughout all the time the melody lasts.You can say things like:Alexa, start forest fantasy.Alexa, ask forest fantasy for a forest background.Alexa, tell forest fantasy to surprise me.IMPORTANT: due to the video duration (1 hour), Echo Show and Echo Spot devices last some seconds to load the video. If it's the first time you open the skill you'll experience a 5-7 seconds delay. Next times, it lasts 3-4 seconds to load, depending on your internet connection.Credits to the video and music goes to Derek & Brandon Fiechter. Visit their YouToube Channel for more excellent content: https://www.youtube.com/channel/UCjMZjGhrFq_4llVS_x2XJ_w.If you have any questions or suggestions for more skills, just leave an email at octaviomenocal92@gmail.com.Thanks and enjoy!","Do you think Alexa enjoys fantasy music? Well, yes she does. Specially music inspired in forest fantasies. You can ask her to play fantasy melodies, and she will find the best forest fantasy melodies to play for an hour. If you have a screen device like Echo Show and Echo Spot you can see forest fantasy images throughout all the time the melody lasts.You can say things like:Alexa, start forest fantasy.Alexa, ask forest fantasy for a forest background.Alexa, tell forest fantasy to surprise me.IMPORTANT: due to the video duration (1 hour), Echo Show and Echo Spot devices last some seconds to load the video. If it's the first time you open the skill you'll experience a 5-7 seconds delay. Next times, it lasts 3-4 seconds to load, depending on your internet connection.Credits to the video and music goes to Derek & Brandon Fiechter. Visit their YouToube Channel for more excellent content: https://www.youtube.com/channel/UCjMZjGhrFq_4llVS_x2XJ_w.If you have any questions or suggestions for more skills, just leave an email at octaviomenocal92@gmail.com.Thanks and enjoy!"
,B08HXXCHQ7,Nicaraguan Anthem,repos/omenocal/nicaraguan-anthem-voice-app,Menocal Apps,Listen to Alexa singing the Nicaraguan Anthem with her own voice.DISCLAIMER: The skill has some content in Spanish as the anthem is interpreted in the original language.,Listen to Alexa singing the Nicaraguan Anthem with her own voice.DISCLAIMER: The skill has some content in Spanish as the anthem is interpreted in the original language.
,B07DTQYB5V,Shout Nicaragua,repos/omenocal/shout-for-nicaragua-voice-app,Menocal Apps,"On April 16, 2018, demonstrators marched in the capital of Managua to protest what they regarded as an insufficient government response to forest fires that burned 13,500 acres (5,500 hectares) of the Indio Maiz Biological Reserve, a tropical nature preserve that is home to Rama and Kriol indigenous people, as well as significant biodiversity and endangered species. Counter-protests supported the Sandinista Front government.On Wednesday, 18 April, protests in the capital expanded in response to the Ortega - Murillo administration announcement of social security reforms that raised income and payroll taxes while reducing pension benefits by 5%. Demonstrations also emerged in six more cities, meeting with heavy response from authorities following the deployment of the Nicaraguan Army to respond to protesters ordered by President Ortega. At least 26 people were killed, including journalist Angel Gahona of the news program Meridiano, with Gahona being shot to death outside of city hall in Bluefields while streaming on Facebook Live. Reports also emerged that various forms of independent media were censored during the protests.This is how everything started. If you want to know day by day fact about this insurrection, just ask Alexa!","On April 16, 2018, demonstrators marched in the capital of Managua to protest what they regarded as an insufficient government response to forest fires that burned 13,500 acres (5,500 hectares) of the Indio Maiz Biological Reserve, a tropical nature preserve that is home to Rama and Kriol indigenous people, as well as significant biodiversity and endangered species. Counter-protests supported the Sandinista Front government.On Wednesday, 18 April, protests in the capital expanded in response to the Ortega - Murillo administration announcement of social security reforms that raised income and payroll taxes while reducing pension benefits by 5%. Demonstrations also emerged in six more cities, meeting with heavy response from authorities following the deployment of the Nicaraguan Army to respond to protesters ordered by President Ortega. At least 26 people were killed, including journalist Angel Gahona of the news program Meridiano, with Gahona being shot to death outside of city hall in Bluefields while streaming on Facebook Live. Reports also emerged that various forms of independent media were censored during the protests.This is how everything started. If you want to know day by day fact about this insurrection, just ask Alexa!"
,B07VJDYYRQ,flashcards,repos/pablonm3/alexa-flashcards,pablomarino.me,"Create your own flashcards to help you remember any concept by just saying ""alexa ask flashcard maid to add CONCEPT_NAME"" alexa will then ask you for a detailed description of the concept and store your card. when you want to practice just say ""alexa tell flashcard maid to practice"" and it will ask you questions about the cards you created, the skill uses an algorithm called spaced repetition(https://en.wikipedia.org/wiki/Spaced_repetition) to calculate when it's the perfect time to practice your concepts.example 1: - Me: ""Alexa tell flashcard maid to add hugo chavez"" - Alexa: ""say a few words that will help you remember the concept""  -Me: ""ex president of venezuela.""  -Alexa: ""card created succesfully""example 2: - Me: ""alexa tell flashcard maid to practice"" - Alexa:  ""with which concept do you associate the following sentence? hugo chavez"" - Me:  ""ex president of venezuela"" - Alexa: ""You got it baby. There are no cards left to practice, check again tomorrow, baby""NOTE: After you create a new flashcard it will be available for practice the day after you added it, that's the best time to revisit your concept according to the spaced repetition algorithm","Create your own flashcards to help you remember any concept by just saying ""alexa ask flashcard maid to add CONCEPT_NAME"" alexa will then ask you for a detailed description of the concept and store your card. when you want to practice just say ""alexa tell flashcard maid to practice"" and it will ask you questions about the cards you created, the skill uses an algorithm called spaced repetition(https://en.wikipedia.org/wiki/Spaced_repetition) to calculate when it's the perfect time to practice your concepts.example 1: - Me: ""Alexa tell flashcard maid to add hugo chavez"" - Alexa: ""say a few words that will help you remember the concept""  -Me: ""ex president of venezuela.""  -Alexa: ""card created succesfully""example 2: - Me: ""alexa tell flashcard maid to practice"" - Alexa:  ""with which concept do you associate the following sentence? hugo chavez"" - Me:  ""ex president of venezuela"" - Alexa: ""You got it baby. There are no cards left to practice, check again tomorrow, baby""NOTE: After you create a new flashcard it will be available for practice the day after you added it, that's the best time to revisit your concept according to the spaced repetition algorithm."
,B0B1M6ZC75,Panama City Beach Safety Flags,repos/PaulRosenthal/Panama-City-Beach-Flags-Alexa-Skill,Paul Rosenthal,"The Panama City Beach Safety Flags skill for Amazon Alexa reports the current beach safety flag status in Panama City Beach, Florida. Safety information is also available through this skill.","The Panama City Beach Safety Flags skill for Amazon Alexa reports the current beach safety flag status in Panama City Beach, Florida. Safety information is also available through this skill."
incomplete privacy policy,B095NVMWJG,cake time,repos/prady13/Cake-Time,Pradyumn,Alexa asks for the birthday from the user and remembers it and it counts the days till the the birthday arrives for a reminder.,Alexa asks for the birthday from the user and remembers it and it counts the days till the the birthday arrives for a reminder.
,B08K4C6WW8,What Bender are You?,repos/prajnakurkal/What-Bender-Are-You-Alexa-Skill,Prajna Kurkal,The skill asks the user a series of questions pertaining to the Avatar universe created by Michael Dante DiMartino and Bryan Konietzko. Then analyzes the user's answers and maps it on to a point system that helps determine the users bending class. The point system finds the correlation between the user's personality traits and the overall personality traits that align with each type of bender.,The skill asks the user a series of questions pertaining to the Avatar universe created by Michael Dante DiMartino and Bryan Konietzko. Then analyzes the user's answers and maps it on to a point system that helps determine the users bending class. The point system finds the correlation between the user's personality traits and the overall personality traits that align with each type of bender.
,B08P36MN4Q,tummy,repos/ranjitmnair/tummy-bot-alexa-skill,Ranjit Nair,tummy is an alexa skill which helps you find the best eateries of a certain city. Ask phrases like:-What are the top eateries in Kolkata?-best hotels in MumbaiThis is achieved with the use of Zomato API. Features would be added in the new addition,tummy is an alexa skill which helps you find the best eateries of a certain city. Ask phrases like:-What are the top eateries in Kolkata?-best hotels in MumbaiThis is achieved with the use of Zomato API. Features would be added in the new addition
,B084Q7L1BV,Mars Weather,repos/raporpe/MarsWeatherSkill-Alexa,raporpe,This skill can tell you the weather forecast in Mars for the current day. It is updated every 24 hours and retrieved from the NASA official page.,This skill can tell you the weather forecast in Mars for the current day. It is updated every 24 hours and retrieved from the NASA official page.
,B09NL5RLN4,Guess my friend's word,repos/rrazvd/guess-my-friends-word,Rafael Azevedo,"** ESSENTIAL READING TO UNDERSTAND HOW SKILL WORKS**Play to impress your friends: You and Alexa establish a brain connection, which allows her to guess the word your friend says. Your friend whispers a word in your ear and you quote random words to Alexa, including the correct word, until Alexa hits it with an established TRICK.It works like this:1 - You activate the Skill: ""Alexa, guess my friend's word"";2 - Alexa asks your friend to whisper a word to you (let's assume he said the word ""Phone"");3 - Alexa stages a ""brain connection"", and when establishing it asks you to say random words;4 - You say a random word, for example ""Is the word potato?"";5 - Alexa will respond that it is not the correct word and will ask for another word;6 - And in that steps 4 and 5 keep repeating, until you want Alexa to hit your friend's word through the TRICK.TRICK:The trick for Alexa to get it right is in the word preceding your friend's word. This antecedent word must have the sense of having something with the number 4, for example: car (has four wheels), lion (has four legs), table (has four legs) among other possibilities (see below for a list with more words ).That is, in the example of the word ""Phone"" the antecedent word can be ""Car"", for example, and so Alexa will hit the word of your friend.TIP:Test the skill and learn to use it before playing the game with your friend for a better experience!More words to perform the TRICK:DoorSkateQuadricycleDinosaurGiraffeCamelHorseRoomFrameRabbitTurtleWallLionOxCowAwningVanDogCatSquareBedDroneElephantJaguarTigerSeatChairDeskCar","** ESSENTIAL READING TO UNDERSTAND HOW SKILL WORKS**Play to impress your friends: You and Alexa establish a brain connection, which allows her to guess the word your friend says. Your friend whispers a word in your ear and you quote random words to Alexa, including the correct word, until Alexa hits it with an established TRICK.It works like this:1 - You activate the Skill: ""Alexa, guess my friend's word"";2 - Alexa asks your friend to whisper a word to you (let's assume he said the word ""Phone"");3 - Alexa stages a ""brain connection"", and when establishing it asks you to say random words;4 - You say a random word, for example ""Is the word potato?"";5 - Alexa will respond that it is not the correct word and will ask for another word;6 - And in that steps 4 and 5 keep repeating, until you want Alexa to hit your friend's word through the TRICK.TRICK:The trick for Alexa to get it right is in the word preceding your friend's word. This antecedent word must have the sense of having something with the number 4, for example: car (has four wheels), lion (has four legs), table (has four legs) among other possibilities (see below for a list with more words ).That is, in the example of the word ""Phone"" the antecedent word can be ""Car"", for example, and so Alexa will hit the word of your friend.TIP:Test the skill and learn to use it before playing the game with your friend for a better experience!More words to perform the TRICK:DoorSkateQuadricycleDinosaurGiraffeCamelHorseRoomFrameRabbitTurtleWallLionOxCowAwningVanDogCatSquareBedDroneElephantJaguarTigerSeatChairDeskCar"
broken,B07MKY2DNR,Programming Trivia,repos/rsha256/programming-trivia/programming-trivia,Rahul Shah,"Test your knowledge of Programming Trivia.Programming Trivia provides a fun way to keep programmer's trivia skills sharp.To start, just say ""Alexa, launch Programming Trivia"" or ""Alexa, open Programming Trivia"" to start the game"".At anytime, you can stop the game by saying ""Alexa, stop""","Test your knowledge of Programming Trivia.Programming Trivia provides a fun way to keep programmer's trivia skills sharp.To start, just say ""Alexa, launch Programming Trivia"" or ""Alexa, open Programming Trivia"" to start the game"".At anytime, you can stop the game by saying ""Alexa, stop"""
,B08JHRCRS5,EIU Menu,repos/rwbxd/eiu-menu,rwb,"This Alexa skill pulls the menus for a selected or all dining halls from https://www.eiu.edu/dining/dining_menu.php*Not affiliated with EIU*Some features may not work as planned, report any issues to rwbryan@eiu.edu","This Alexa skill pulls the menus for a selected or all dining halls from https://www.eiu.edu/dining/dining_menu.php*Not affiliated with EIU*Some features may not work as planned, report any issues to rwbryan@eiu.edu"
,B09NK2BRQJ,Weather assistant,repos/salman-a1212/Alexa-Weather-Assistant,Salman Aslam,This weather assistant tells you the latest weather in different cities of the world. If no city is given by the user then the default city i.e. Karachi is told.,This weather assistant tells you the latest weather in different cities of the world. If no city is given by the user then the default city i.e. Karachi is told.
,B07D4972MD,Chicago Beaches,repos/santisbon/chicagobeaches,Armando C. Santisbon,Weather data from automated sensors located at select Chicago beaches along the Lake Michigan lakefront.,Weather data from automated sensors located at select Chicago beaches along the Lake Michigan lakefront.
,B076RZ3LHT,Chicago Parks,repos/santisbon/chicagoparks,Armando C. Santisbon,Get movies and events happening at Chicago Park District facilities on any given date. Data provided by the City of Chicago Data Portal.,Get movies and events happening at Chicago Park District facilities on any given date. Data provided by the City of Chicago Data Portal.
,B07K3956HM,Good Dogs,repos/santisbon/dogs,Armando C. Santisbon,Shows info about dogs,Shows info about different dog breeds.
,B07Y9FJZJD,mcscraggins,repos/scottleedavis/mcscraggins,scottleedavis,What you got,What you got
,B07XM5X46Y,zorielle-birthday,repos/scottleedavis/zorielle-birthday,scottleedavis,Announces happy birthday to Zorielle,Announces happy birthday to Zorielle
,B07BJK1B55,Daily Counter,repos/sgruendel/alexa-day-counter,Stefan,"How often have I been interrupted at work? How often did I sneeze? Now Alexa can count for you and store the number persistently. The counter starts at zero for every day.Past days can be queried using ""Alexa, ask daily counter for the count of yesterday"" or ""Alexa, ask daily counter for the count of last Sunday"".Date ranges can be queried, the count for each day in the range is summed up, e.g ""Alexa, ask daily counter for the sum of last week"" or ""Alexa, ask daily counter for the sum in August"".Suggestions for improvement and feedback welcome via https://github.com/sgruendel/alexa-day-counter/issues/new.","How often have I been interrupted at work? How often did I sneeze? Now Alexa can count for you and store the number persistently. The counter starts at zero for every day.Past days can be queried using ""Alexa, ask daily counter for the count of yesterday"" or ""Alexa, ask daily counter for the count of last Sunday"".Date ranges can be queried, the count for each day in the range is summed up, e.g ""Alexa, ask daily counter for the sum of last week"" or ""Alexa, ask daily counter for the sum in August"".Suggestions for improvement and feedback welcome via https://github.com/sgruendel/alexa-day-counter/issues/new."
health lack a disclaimer,B07KPKZWC2,GC Status,repos/sgruendel/alexa-garmin-connect-status,Stefan,"Check the current Garmin Connect status as reported on https://connect.garmin.com/status.Start with ""Alexa, open GC Status"", or ask for a specific component:""Alexa, ask GC Status for platforms""""Alexa, ask GC Status for features""This skill is an unofficial fan project.Suggestions for improvement and feedback welcome via https://github.com/sgruendel/alexa-garmin-connect-status/issues/new.","Check the current Garmin Connect status as reported on https://connect.garmin.com/status.Start with ""Alexa, open GC Status"", or ask for a specific component:""Alexa, ask GC Status for platforms""""Alexa, ask GC Status for features""This skill is an unofficial fan project.Suggestions for improvement and feedback welcome via https://github.com/sgruendel/alexa-garmin-connect-status/issues/new."
,B07L956FR6,Language Tester,repos/sgruendel/alexa-language-tester,Stefan,"Let Alexa talk with various female and male voices in different languages, just say""Alexa, open Language Tester and speak like an Italian man""Nationalities supported: German man/woman, American man/woman, Australian man/woman, British man/woman, Indian woman, Spanish man/woman, Italian man/woman, Japanese man/woman, French man/womanSuggestions for improvement and feedback welcome via https://github.com/sgruendel/alexa-language-tester/issues/new.","Let Alexa talk with various female and male voices in different languages, just say""Alexa, open Language Tester and speak like an Italian man""Nationalities supported: German man/woman, American man/woman, Australian man/woman, British man/woman, Indian woman, Spanish man/woman, Italian man/woman, Japanese man/woman, French man/womanSuggestions for improvement and feedback welcome via https://github.com/sgruendel/alexa-language-tester/issues/new."
,B06XQDH6S2,Paradise Playlist,repos/sgruendel/alexa-radio-paradise,Stefan,"Listening to Radio Paradise and there's this cool song but you don't know what it is? Now you can ask Alexa for what's currently playing, including artist, song, album and year of release. You can navigate the playlist saying ""Alexa back"" and ""Alexa next"".By default, RP Main Mix is used, you can ask for other channels, e.g. ""Alexa open Paradise Playlist for Rock Mix"".This skill is an unofficial fan project.Suggestions for improvement and feedback welcome via https://github.com/sgruendel/alexa-radio-paradise/issues/new.","Listening to Radio Paradise and there's this cool song but you don't know what it is? Now you can ask Alexa for what's currently playing, including artist, song, album and year of release. You can navigate the playlist saying ""Alexa back"" and ""Alexa next"".By default, RP Main Mix is used, you can ask for other channels, e.g. ""Alexa open Paradise Playlist for Rock Mix"".This skill is an unofficial fan project.Suggestions for improvement and feedback welcome via https://github.com/sgruendel/alexa-radio-paradise/issues/new."
